BDC,Belden Inc,Belden,"""Belden Inc (BDC)"":[""BDC"",""Belden""],",,
BSY,Bentley Systems Incorporated,Bentley,"""Bentley Systems Incorporated (BSY)"":[""BSY"",""Bentley""],",,
BLI,Berkeley Lights Inc.,Berkeley,"""Berkeley Lights Inc. (BLI)"":[""BLI"",""Berkeley""],",,
BERY,Berry Global Group Inc.,Berry,"""Berry Global Group Inc. (BERY)"":[""BERY"",""Berry""],",,
BBY,Best Buy Co. Inc.,Best,"""Best Buy Co. Inc. (BBY)"":[""BBY"",""Best""],",,
BYND,Beyond Meat Inc.,Beyond,"""Beyond Meat Inc. (BYND)"":[""BYND"",""Beyond""],",,
BGCP,BGC Partners Inc,BGC,"""BGC Partners Inc (BGCP)"":[""BGCP"",""BGC""],",,
BIG,Big Lots Inc.,Big,"""Big Lots Inc. (BIG)"":[""BIG"",""Big""],",,
BIGC,BigCommerce Holdings Inc.,BigCommerce,"""BigCommerce Holdings Inc. (BIGC)"":[""BIGC"",""BigCommerce""],",,
BIO,Bio-Rad Laboratories Inc.,Bio-Rad,"""Bio-Rad Laboratories Inc. (BIO)"":[""BIO"",""Bio-Rad""],",,
TECH,Bio-Techne Corp,Bio-Techne,"""Bio-Techne Corp (TECH)"":[""TECH"",""Bio-Techne""],",,
BIIB,Biogen Inc.,Biogen,"""Biogen Inc. (BIIB)"":[""BIIB"",""Biogen""],",,
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,Biohaven,"""Biohaven Pharmaceutical Holding Company Ltd. (BHVN)"":[""BHVN"",""Biohaven""],",,
BMRN,BioMarin Pharmaceutical Inc.,BioMarin,"""BioMarin Pharmaceutical Inc. (BMRN)"":[""BMRN"",""BioMarin""],",,
BNGO,Bionano Genomics Inc.,Bionano,"""Bionano Genomics Inc. (BNGO)"":[""BNGO"",""Bionano""],",,
BJ,BJ's Wholesale Club Holdings Inc.,BJ's,"""BJ's Wholesale Club Holdings Inc. (BJ)"":[""BJ"",""BJ's""],",,
BKH,Black Hills Corporation,Black,"""Black Hills Corporation (BKH)"":[""BKH"",""Black""],",,
BLKB,Blackbaud Inc.,Blackbaud,"""Blackbaud Inc. (BLKB)"":[""BLKB"",""Blackbaud""],",,
BB,BlackBerry Limited,BlackBerry,"""BlackBerry Limited (BB)"":[""BB"",""BlackBerry""],",,
BL,BlackLine Inc.,BlackLine,"""BlackLine Inc. (BL)"":[""BL"",""BlackLine""],",,
